fixed acidity,volatile acidity,citric acid,residual sugar,free sulfur dioxide,sulphates,total sulfur dioxide,density（负相关）,pH（正相关）,chlorides（负相关）,alcohol（正相关）,quality
7,0.27,0.36,20.7,45,0.45,170,1.001,3,0.045,8.8,6
6.3,0.3,0.34,1.6,14,0.49,132,0.994,3.3,0.049,9.5,6
8.1,0.28,0.4,6.9,30,0.44,97,0.9951,3.26,0.05,10.1,6
7.2,0.23,0.32,8.5,47,0.4,186,0.9956,3.19,0.058,9.9,6
7.2,0.23,0.32,8.5,47,0.4,186,0.9956,3.19,0.058,9.9,6
8.1,0.28,0.4,6.9,30,0.44,97,0.9951,3.26,0.05,10.1,6
6.2,0.32,0.16,7,30,0.47,136,0.9949,3.18,0.045,9.6,6
7,0.27,0.36,20.7,45,0.45,170,1.001,3,0.045,8.8,6
6.3,0.3,0.34,1.6,14,0.49,132,0.994,3.3,0.049,9.5,6
8.1,0.22,0.43,1.5,28,0.45,129,0.9938,3.22,0.044,11,6
8.1,0.27,0.41,1.45,11,0.56,63,0.9908,2.99,0.033,12,5
8.6,0.23,0.4,4.2,17,0.53,109,0.9947,3.14,0.035,9.7,5
7.9,0.18,0.37,1.2,16,0.63,75,0.992,3.18,0.04,10.8,5
6.6,0.16,0.4,1.5,48,0.52,143,0.9912,3.54,0.044,12.4,7
8.3,0.42,0.62,19.25,41,0.67,172,1.0002,2.98,0.04,9.7,5
6.6,0.17,0.38,1.5,28,0.55,112,0.9914,3.25,0.032,11.4,7
6.3,0.48,0.04,1.1,30,0.36,99,0.9928,3.24,0.046,9.6,6
6.2,0.66,0.48,1.2,29,0.39,75,0.9892,3.33,0.029,12.8,8
7.4,0.34,0.42,1.1,17,0.53,171,0.9917,3.12,0.033,11.3,6
6.5,0.31,0.14,7.5,34,0.5,133,0.9955,3.22,0.044,9.5,5
6.2,0.66,0.48,1.2,29,0.39,75,0.9892,3.33,0.029,12.8,8
6.4,0.31,0.38,2.9,19,0.35,102,0.9912,3.17,0.038,11,7
6.8,0.26,0.42,1.7,41,0.48,122,0.993,3.47,0.049,10.5,8
7.6,0.67,0.14,1.5,25,0.51,168,0.9937,3.05,0.074,9.3,5
6.6,0.27,0.41,1.3,16,0.47,142,0.9951,3.42,0.052,10,6
7,0.25,0.32,9,56,0.5,245,0.9955,3.25,0.046,10.4,6
6.9,0.24,0.35,1,35,0.44,146,0.993,3.45,0.052,10,6
7,0.28,0.39,8.7,32,0.53,141,0.9961,3.38,0.051,10.5,6
7.4,0.27,0.48,1.1,17,0.49,132,0.9914,3.19,0.047,11.6,6
7.2,0.32,0.36,2,37,0.71,114,0.9906,3.1,0.033,12.3,7
8.5,0.24,0.39,10.4,20,0.53,142,0.9974,3.2,0.044,10,6
8.3,0.14,0.34,1.1,7,0.4,47,0.9934,3.47,0.042,10.2,6
7.4,0.25,0.36,2.05,31,0.44,100,0.992,3.19,0.05,10.8,6
6.2,0.12,0.34,1.5,43,0.51,117,0.9939,3.42,0.045,9,6
5.8,0.27,0.2,14.95,22,0.37,179,0.9962,3.37,0.044,10.2,5
7.3,0.28,0.43,1.7,21,0.42,123,0.9905,3.19,0.08,12.8,5
6.5,0.39,0.23,5.4,25,0.35,149,0.9934,3.24,0.051,10,5
7,0.33,0.32,1.2,38,0.28,138,0.9906,3.13,0.053,11.2,6
7.3,0.24,0.39,17.95,45,0.36,149,0.9999,3.21,0.057,8.6,5
7.3,0.24,0.39,17.95,45,0.36,149,0.9999,3.21,0.057,8.6,5
6.7,0.23,0.39,2.5,63,0.36,158,0.9937,3.11,0.172,9.4,6
6.7,0.24,0.39,2.9,63,0.34,157,0.9937,3.1,0.173,9.4,6
7,0.31,0.26,7.4,28,0.46,160,0.9954,3.13,0.069,9.8,6
6.6,0.24,0.27,1.4,33,0.56,152,0.9934,3.22,0.057,9.5,6
6.7,0.23,0.26,1.4,33,0.56,154,0.9934,3.24,0.06,9.5,6
7.4,0.18,0.31,1.4,38,0.53,167,0.9931,3.16,0.058,10,7
6.2,0.45,0.26,4.4,63,0.52,206,0.994,3.27,0.063,9.8,4
6.2,0.46,0.25,4.4,62,0.52,207,0.9939,3.25,0.066,9.8,5
7,0.31,0.26,7.4,28,0.46,160,0.9954,3.13,0.069,9.8,6
6.9,0.19,0.35,5,32,0.48,150,0.995,3.36,0.067,9.8,5
7.2,0.19,0.31,1.6,31,0.44,173,0.9917,3.35,0.062,11.7,6
6.6,0.25,0.29,1.1,39,0.58,124,0.9914,3.34,0.068,11,7
6.2,0.16,0.33,1.1,21,0.46,82,0.991,3.32,0.057,10.9,7
6.4,0.18,0.35,1,39,0.35,108,0.9911,3.31,0.045,10.9,6
6.8,0.2,0.59,0.9,38,0.38,132,0.993,3.05,0.147,9.1,6
6.9,0.25,0.35,1.3,29,0.52,191,0.9908,3.13,0.039,11,6
7.2,0.21,0.34,11.9,37,0.5,213,0.9962,3.09,0.043,9.6,6
6,0.19,0.26,12.4,50,0.36,147,0.9972,3.3,0.048,8.9,6
6.6,0.38,0.15,4.6,25,0.38,78,0.9931,3.11,0.044,10.2,6
7.4,0.2,0.36,1.2,44,0.34,111,0.9926,3.36,0.038,9.9,6
6.8,0.22,0.24,4.9,30,0.46,123,0.9951,3.03,0.092,8.6,6
6,0.19,0.26,12.4,50,0.36,147,0.9972,3.3,0.048,8.9,6
7,0.47,0.07,1.1,17,0.34,151,0.991,3.02,0.035,10.5,5
6.6,0.38,0.15,4.6,25,0.38,78,0.9931,3.11,0.044,10.2,6
7.2,0.24,0.27,1.4,31,0.46,122,0.9927,3.15,0.038,10.3,6
6.2,0.35,0.03,1.2,29,0.54,120,0.9934,3.22,0.064,9.1,5
6.4,0.26,0.24,6.4,27,0.49,124,0.9903,3.22,0.04,12.6,7
6.7,0.25,0.13,1.2,81,0.42,174,0.992,3.14,0.041,9.8,5
6.7,0.23,0.31,2.1,30,0.64,96,0.9926,3.33,0.046,10.7,8
7.4,0.24,0.29,10.1,21,0.35,105,0.9962,3.13,0.05,9.5,5
6.2,0.27,0.43,7.8,48,0.51,244,0.9956,3.1,0.056,9,6
6.8,0.3,0.23,4.6,50.5,0.6,238.5,0.9958,3.32,0.061,9.5,5
6,0.27,0.28,4.8,31,0.71,201,0.9964,3.69,0.063,10,5
8.6,0.23,0.46,1,9,0.49,72,0.9941,2.95,0.054,9.1,6
6.7,0.23,0.31,2.1,30,0.64,96,0.9926,3.33,0.046,10.7,8
7.4,0.24,0.29,10.1,21,0.35,105,0.9962,3.13,0.05,9.5,5
7.1,0.18,0.36,1.4,31,0.37,87,0.9898,3.26,0.043,12.7,7
7,0.32,0.34,1.3,20,0.65,69,0.9912,3.31,0.042,12,7
7.4,0.18,0.3,8.8,26,0.56,103,0.9961,2.94,0.064,9.3,5
6.7,0.54,0.28,5.4,21,0.37,105,0.9949,3.27,0.06,9,5
6.8,0.22,0.31,1.4,34,0.77,114,0.9929,3.39,0.053,10.6,6
7.1,0.2,0.34,16,51,0.6,166,0.9985,3.21,0.05,9.2,6
7.1,0.34,0.2,6.1,47,0.42,164,0.9946,3.17,0.063,10,5
7.3,0.22,0.3,8.2,42,0.46,207,0.9966,3.33,0.047,9.5,6
7.1,0.43,0.61,11.8,54,0.45,155,0.9974,3.11,0.045,8.7,5
